id;descricao;data_vencimento;data_pagamento;valor;start_date;end_date;tipo
1;matrix red transmit;2022-09-21;2022-09-20;35786;2022-09-21T03:00:28;2022-09-21T09:03:46;DESPESA
2;Underpass Bedfordshire;2022-09-20;2022-09-21;71925;2022-09-20T17:48:57;2022-09-21T08:51:45;DESPESA
3;Supervisor Garden;2022-09-21;2022-09-21;76500;2022-09-21T09:28:55;2022-09-21T06:00:40;DESPESA
4;one-to-one payment Belize;2022-09-20;2022-09-21;61340;2022-09-21T05:09:24;2022-09-21T11:22:01;RECEITA
5;UIC-Franc Books;2022-09-21;2022-09-21;99365;2022-09-21T13:05:54;2022-09-20T21:54:28;DESPESA
6;Home;2022-09-21;2022-09-20;17843;2022-09-21T03:10:38;2022-09-21T06:30:37;DESPESA
7;Chips Account Bahamian;2022-09-20;2022-09-21;42982;2022-09-21T02:36:35;2022-09-21T03:03:08;DESPESA
8;Israel;2022-09-20;2022-09-20;34891;2022-09-20T17:30:59;2022-09-21T02:17:12;DESPESA
9;facilitate;2022-09-20;2022-09-21;61818;2022-09-21T14:18:42;2022-09-21T00:51:25;RECEITA
10;channels;2022-09-20;2022-09-20;26616;2022-09-21T01:53:15;2022-09-21T13:45:52;DESPESA
